PS C:\Users\sacha> scoop search
Results from local buckets...

Name                               Version                                  Source Binaries
dbxcli                             3.0.0                                    extras
ddc-toolbox                        2.0.1                                    extras
ddu                                18.0.6.4                                 extras
deadbeef                           1.9.5                                    extras
deadlock                           1.4                                      extras
debugtron                          0.5.0                                    extras
debugviewpp                        1.8.0.86                                 extras
deepgit                            4.3.1                                    extras
deepl                              4.0.6052                                 extras
deew                               3.0.1                                    extras
defraggler                         2.22.995                                 extras
deltachat                          1.36.4                                   extras
deluge                             2.1.1                                    extras
dependencies                       1.11.1                                   extras
depends                            2.2                                      extras
deskpins                           1.32                                     extras
deskreen                           2.0.4                                    extras
desktop-ini-editor                 1.1                                      extras
detect-it-easy                     3.07                                     extras
devdocs                            0.7.2                                    extras
devhub                             0.102.0                                  extras
devrantron                         1.5.4                                    extras
dfu-programmer                     1.0.0                                    extras
dhcp-server                        2.5.2                                    extras
dia                                0.97.2                                   extras
diagram-designer                   1.30.0                                   extras
diff-pdf                           0.5.1                                    extras
diffinity                          0.9.4                                    extras
diffmerge                          4.2.0                                    extras
diffpdf                            2.1.3                                    extras
digikam                            8.0.0                                    extras
digital                            0.30                                     extras
discord-rpc-extension              0.1.2                                    extras
discord                            1.0.9010-15                              extras
discordchatexporter                2.39.1                                   extras
discrakt                           2.2.5                                    extras
diskcheckup                        3.5.1003                                 extras
diskgenius                         5.5.0.1488                               extras
diskspd                            2.1                                      extras
dismplusplus                       10.1.1002.1B                             extras
displaycal                         3.8.9.3                                  extras
ditto                              3.24.246.0                               extras
divoom-cli                         0.1.42                                   extras
divoom-gateway                     0.1.42                                   extras
dn-famitracker                     0.5.0.1                                  extras
dn-tool-container                  1.5.1                                    extras
dngrep                             3.2.306.0                                extras
dnsjumper                          2.2                                      extras
dnspy                              6.1.8                                    extras
dnspyex                            6.3.0                                    extras
docear                             1.2                                      extras
dockercompletion                   1.2300.0.230210                          extras
dolphin                            23.04.1-1910                             extras
dont-sleep                         9.31                                     extras
dopamine                           2.0.9                                    extras
dosbox-staging                     0.80.1                                   extras
dosbox-x                           2023.05.01                               extras
dotmemory                          2023.1.2                                 extras
dotnet-generic-unpacker            1.0.0.1                                  extras
dotPeek                            2023.1.2                                 extras
dottorrent-gui                     1.3.11                                   extras
dottrace                           2023.1.2                                 extras
doublecmd                          1.0.11                                   extras
dovi-tool                          2.0.3                                    extras
draw.io                            21.2.8                                   extras
dreamset                           2.4.13                                   extras
